source_id,target_id,relationship_type,quantity,lead_time_days,dependency
S001,M001,SUPPLIES,500,7,0.85
S002,M001,SUPPLIES,300,5,0.55
S004,M002,SUPPLIES,600,6,0.80
S007,M002,SUPPLIES,350,8,0.60
S003,M003,SUPPLIES,400,5,0.75
S008,M003,SUPPLIES,300,4,0.65
S006,M004,SUPPLIES,450,6,0.70
S005,M005,SUPPLIES,400,4,0.80
S001,M005,SUPPLIES,250,9,0.50
M001,PR001,PRODUCES,600,2,0.90
M002,PR002,PRODUCES,700,3,0.85
M003,PR003,PRODUCES,500,3,0.90
M004,PR004,PRODUCES,550,2,0.85
M005,PR005,PRODUCES,500,2,0.80
M001,P001,SHIPS_VIA,550,3,0.90
M001,P002,SHIPS_VIA,200,8,0.35
M002,P002,SHIPS_VIA,650,2,0.85
M003,P001,SHIPS_VIA,450,4,0.80
M004,P004,SHIPS_VIA,500,2,0.90
M005,P002,SHIPS_VIA,450,5,0.75
P001,D001,SHIPS_TO,400,12,0.85
P001,D003,SHIPS_TO,350,4,0.75
P002,D001,SHIPS_TO,300,14,0.60
P002,D004,SHIPS_TO,450,3,0.85
P002,D005,SHIPS_TO,300,6,0.70
P003,D001,SHIPS_TO,500,2,0.80
P004,D002,SHIPS_TO,450,3,0.90
D001,R001,DISTRIBUTES_TO,300,2,0.80
D001,R006,DISTRIBUTES_TO,200,3,0.65
D002,R002,DISTRIBUTES_TO,350,2,0.85
D003,R003,DISTRIBUTES_TO,300,2,0.80
D004,R004,DISTRIBUTES_TO,300,1,0.75
D005,R005,DISTRIBUTES_TO,300,1,0.80
